iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.0,242.16,-6.978004147671163,0.8003547257290415,59.0,0.24,0.2,0.0,0.02,0.02,0.24
4,32768,50,0.0,274.08,-4.842728523425758,0.2645221445221445,40.8,0.1,0.08,0.0,0.0,0.02,0.1
6,49152,50,0.0,278.04,-4.348162053637207,0.3233583959899749,25.5,0.08,0.08,0.0,0.0,0.0,0.08
8,65536,50,0.0,285.12,-4.224531881511211,0.144289232663742,52.0,0.06,0.02,0.0,0.0,0.04,0.06
10,81920,50,0.0,300.0,-2.930188646130264,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
12,98304,50,0.0,262.72,-5.638377275243402,0.5584787530997289,33.714285714285715,0.14,0.12,0.0,0.0,0.02,0.14
14,114688,50,0.0,227.66,-8.501220538653433,0.4998308336305801,73.9375,0.32,0.32,0.0,0.0,0.0,0.32
16,131072,50,0.0,295.32,-3.3968261125683785,0.0303030303030303,66.0,0.02,0.02,0.0,0.0,0.0,0.02
18,147456,50,0.0,265.6,-6.132501233518124,0.1917401583387002,108.88888888888889,0.18,0.18,0.0,0.0,0.0,0.18
20,163840,50,0.0,278.1,-5.35110826022923,0.334193571479169,117.5,0.12,0.1,0.0,0.0,0.02,0.12
22,180224,50,0.0,290.44,-3.832261242158711,0.0657327586206896,61.0,0.04,0.02,0.0,0.0,0.02,0.04
24,196608,50,0.0,300.0,-2.9980109110847115,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
