iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.02,298.0,-4.657564112506807,39.92333333333333,85.6046511627907,0.86,16.52,13.26,3.74,85.68,119.2
4,32768,50,0.02,294.86,-4.858354969918728,45.50372093023256,54.857142857142854,0.98,16.7,7.54,4.58,105.42,134.24
6,49152,50,0.1,286.64,0.17130092110484837,34.059651270018584,66.46666666666667,0.9,31.2,0.0,2.22,64.2,97.62
8,65536,50,0.16,273.66,2.6689162576198577,50.21133612825478,61.53061224489796,0.98,30.4,8.02,3.8,97.34,139.56
10,81920,50,0.14,276.98,1.896553034223616,47.24173339721692,65.25,0.96,27.22,4.18,3.86,101.7,136.96
12,98304,50,0.1,284.66,-0.8864555806666613,59.36823307316981,43.91836734693877,0.98,30.48,9.72,6.84,125.14,172.18
14,114688,50,0.06,294.78,-3.789369624964893,67.12028869873573,41.3,1.0,26.3,35.86,12.34,125.3,199.8
16,131072,50,0.14,274.12,0.4570846549794078,64.40729700173878,38.76,1.0,22.18,24.48,11.72,123.36,181.74
18,147456,50,0.12,281.64,-0.8516599585115909,76.54776603869554,45.51020408163265,0.98,22.66,55.26,12.02,128.04,217.98
20,163840,50,0.12,279.26,-0.6535862977430225,65.25113632361249,37.16326530612245,0.98,23.58,43.64,23.86,99.92,191.0
22,180224,50,0.12,278.42,-1.0937475971505046,62.967781385290294,34.98,1.0,18.8,42.22,20.6,98.64,180.26
24,196608,50,0.1,286.7,-2.9522130306065084,73.9680721120073,34.58,1.0,12.96,72.4,21.22,111.52,218.1
