iteration,timesteps,violations_per_100_steps_mean,violations_per_100_steps_std,success_rate_mean,success_rate_std,avg_time_to_failure_mean,avg_time_to_failure_std,mean_episode_length_mean,mean_episode_length_std,avg_collisions_per_episode_mean,avg_collisions_per_episode_std,avg_episode_reward_mean,avg_episode_reward_std
2,16384,27.96394807035272,16.19085695036142,0.076,0.08039900496896712,76.93391025641026,20.991521276450435,286.504,16.484443090380694,40.724,19.645752314431736,-1697.1516764146686,1031.308085193743
4,32768,26.171401160346043,16.27495685116428,0.08399999999999999,0.072,70.16079813512894,26.322067887156926,285.132,13.194917809520451,36.751999999999995,18.39800684856922,-1604.0722388373765,1101.2360856474347
6,49152,24.011664093955304,15.781745622582049,0.088,0.08255906976220118,61.99892732076712,22.91637400831638,284.344,14.747764033913747,35.044,17.772497404698083,-1446.9022048410327,1036.8346732333566
8,65536,21.639341486346524,14.21831162176497,0.084,0.08138795979750323,64.782886002886,34.17928710470837,287.144,11.271936124730301,42.612,25.855201720350202,-1285.2402447654529,888.8324342799826
10,81920,18.45299929930163,9.780406024018959,0.04,0.033466401061363026,72.03026867868974,31.513629503822415,293.996,5.588450948160856,39.688,20.878872000182387,-1144.3052919430509,619.8091992942152
12,98304,10.019296527667333,9.291132326125735,0.052000000000000005,0.10400000000000001,62.98072829131652,33.680988260276145,288.996,22.008000000000006,13.907999999999998,10.301833623195435,-592.6308729250878,499.11388176823635
14,114688,17.070310539142717,11.513557854303563,0.024,0.048,39.551477541371156,13.409316624119764,294.244,11.51199999999999,31.344,14.552450790159025,-1067.1074204195215,754.6656751973903
16,131072,13.562223266000197,11.886495305805003,0.036,0.072,59.29601340750251,14.533295396671631,293.108,13.783999999999992,26.82,23.509177782304512,-839.0942727459147,740.4537549268337
18,147456,15.263102627557188,10.63642786260483,0.027999999999999997,0.0466476151587624,92.3648448043185,57.788426238514816,295.944,6.352302259810996,37.303999999999995,24.16778814869081,-920.9815721989496,639.9132392734806
20,163840,13.255148594377513,8.617855248511958,0.004,0.008,73.20350877192982,32.68273244140833,299.132,1.73599999999999,28.416000000000004,16.97104074592952,-842.0586730881257,551.118335883124
22,180224,18.228,10.713446919124063,0.0,0.0,81.04021539650343,15.16387916740261,300.0,0.0,47.831999999999994,24.295222904925158,-1130.4191063153671,693.3077637649759
24,196608,18.495533180778033,10.236481938864484,0.012,0.016,89.57582166708853,21.526222204886405,298.244,2.1540064995259347,51.628,27.95569237203758,-1121.6375306282564,629.100330592657
