iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.04,293.78,-656.3709835654124,12.893021978021979,92.76923076923077,0.78,19.0,8.7,5.8,3.52,37.02
4,32768,50,0.18,270.52,-848.0558702422306,18.121965268796536,87.93548387096774,0.62,35.28,2.16,1.56,4.08,43.08
6,49152,50,0.22,260.86,-901.2352550075203,20.67775612749775,68.60606060606061,0.66,45.46,0.0,0.26,0.0,45.72
8,65536,50,0.1,285.42,-985.7095959149301,17.68935997282208,62.0,0.48,49.36,0.0,0.1,0.0,49.46
10,81920,50,0.06,292.86,-1217.937019018419,20.739770025639032,79.3030303030303,0.66,60.86,0.0,0.02,0.0,60.88
12,98304,50,0.0,300.0,-247.78853939834983,4.08,44.6,0.1,12.24,0.0,0.0,0.0,12.24
14,114688,50,0.0,300.0,-761.9091030487791,12.646666666666668,36.25,0.24,37.94,0.0,0.0,0.0,37.94
16,131072,50,0.0,300.0,-205.12664794828743,3.373333333333333,56.111111111111114,0.18,10.12,0.0,0.0,0.0,10.12
18,147456,50,0.0,300.0,-840.7649698769674,13.959999999999997,109.92307692307692,0.26,41.88,0.0,0.0,0.0,41.88
20,163840,50,0.0,300.0,-844.6547237145528,14.026666666666667,64.92857142857143,0.28,42.08,0.0,0.0,0.0,42.08
22,180224,50,0.0,300.0,-746.4260170610994,12.386666666666667,64.41666666666667,0.24,37.16,0.0,0.0,0.0,37.16
24,196608,50,0.04,295.42,-917.3276735895499,15.537665903890163,111.8695652173913,0.46,45.82,0.0,0.0,0.0,45.82
