iteration,timesteps,max_steps,iter_time_sec,eval_time_sec,elapsed_time_sec,timesteps_per_sec,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
10,2621440,0.0,164.5058420409914,282.2528774100356,1649.741493883077,1593.5239548190586,50,0.0,272.88,18.794990821294487,1.4949207936855677,72.14285714285714,0.14,3.9,0.0,0.0,0.12,4.02
20,5242880,0.0,169.50972194201313,300.0916809500195,3616.223079895135,1546.4835703622696,50,0.02,287.22,38.311903720274564,0.9050125522129011,140.4,0.1,1.48,0.0,0.0,0.08,1.56
30,7864320,0.0,169.98533105105162,300.5936317779124,5617.334453666117,1542.1565989201174,50,0.02,276.38,0.5513230607099832,2.8430480031569583,94.71428571428571,0.14,7.14,0.0,0.0,0.1,7.24
40,10485760,0.0,168.4351474228315,315.0938672651537,7612.511612384114,1556.349752477292,50,0.04,270.14,-31.35648984024301,4.634857499018241,97.0,0.22,13.2,0.0,0.0,0.12,13.32
50,13107200,0.0,169.03429261804558,311.32429022016004,9617.591535217129,1550.833241822401,50,0.08,274.94,15.944629739420488,3.6981887576934014,136.2,0.2,7.94,0.0,0.0,0.1,8.04
60,15728640,0.0,170.34413246205077,323.68038958706893,11627.974963756045,1538.9083040967107,50,0.12,262.06,-36.89898911675904,6.026813564175998,125.44444444444444,0.36,15.74,0.0,0.04,0.14,15.92
70,18350080,0.0,169.54942324804142,306.2357206400484,13640.229651031084,1546.1214492985791,50,0.14,205.86,-40.04626006791834,7.989011495971759,79.23333333333333,0.6,13.96,0.0,0.68,0.36,15.0
80,20971520,0.0,167.36103832512163,299.3873835899867,15611.818588673137,1566.3382745675224,50,0.2,204.88,-73.67806040677591,9.224712387194101,71.6875,0.64,20.08,0.0,0.34,0.34,20.76
90,23592960,0.0,164.5009727301076,296.524357506074,17570.37599021895,1593.5711239233383,50,0.24,209.14,-28.5227590255579,7.642832927004277,95.63333333333334,0.6,12.56,0.0,0.48,0.32,13.36
100,26214400,0.0,164.3061547440011,300.46487006312236,19506.392389526125,1595.460622935496,50,0.14,204.36,-77.93143842902151,9.281288388090962,96.775,0.8,19.16,0.1,1.44,0.32,21.02
110,28835840,0.0,166.48647397081368,303.7891793861054,21473.537286394043,1574.5663521347435,50,0.36,158.26,-10.952272673249245,6.47834391357391,88.0,0.66,9.04,0.04,1.32,0.34,10.74
120,31457280,0.0,165.8928309059702,297.6336431228556,23444.77940109512,1580.2008957734045,50,0.3,177.16,-32.57288962353021,8.576223386858034,101.57142857142857,0.7,13.36,0.06,1.04,0.34,14.8
130,34078720,0.0,165.4769843998365,293.73781040194444,25387.832950815093,1584.1719677861074,50,0.3,177.74,-30.430469553712754,10.400516052842118,101.65853658536585,0.82,13.56,0.02,1.56,0.42,15.56
140,36700160,0.0,163.88994455803186,301.9113939651288,27334.27346552699,1599.5124088114956,50,0.34,189.92,-34.81046283463132,8.926371846059437,104.25,0.72,14.12,0.0,0.98,0.3,15.4
150,39321600,0.0,163.87763183796778,299.57408213382587,29271.633040049113,1599.632585972392,50,0.2,191.56,-38.77860904989764,6.64296683316031,101.39024390243902,0.82,11.68,0.02,1.08,0.48,13.26
160,41943040,0.0,162.64108716510236,314.8682283379603,31215.011367243947,1611.7944399491682,50,0.34,214.46,-62.81588109430973,10.951524923739576,86.13157894736842,0.76,20.32,0.04,1.56,0.28,22.2
170,44564480,0.0,166.24636754998937,298.41540395398624,33177.576011187164,1576.8404679348841,50,0.3,197.58,-16.307412215322255,5.735198192961341,102.64102564102564,0.78,10.28,0.0,2.14,0.42,12.84
180,47185920,0.0,165.9694228451699,315.2888787530828,35150.10503298114,1579.4716611417618,50,0.2,201.28,-32.80052119047614,7.394237369264862,111.7948717948718,0.78,11.82,0.02,1.66,0.44,13.94
190,49807360,0.0,165.98340053809807,294.2101090750657,37118.279967128066,1579.3386516372175,50,0.28,170.62,-42.27253757960163,8.56246213720368,99.0,0.78,13.98,0.08,1.76,0.4,16.22
200,52428800,0.0,166.95981902000494,308.71776225278154,39069.86903097201,1570.1023248509282,50,0.32,182.48,-10.004087540716863,6.890933653737592,109.34375,0.64,8.5,0.12,2.28,0.36,11.26
210,55050240,0.0,167.26830158312805,335.2334512299858,41051.15321626002,1567.2066824312267,50,0.24,195.7,-19.95744696251815,5.832609848281945,109.08333333333333,0.72,9.24,0.02,1.52,0.44,11.22
220,57671680,0.0,167.1006436541211,311.2212877930142,43043.02916703513,1568.7791157920828,50,0.32,207.14,-44.703815368971554,8.91017707998433,118.375,0.8,16.04,0.06,1.86,0.32,18.28
230,60293120,0.0,183.73668410489336,296.21033894992433,45015.495574369095,1426.7374056361261,50,0.22,177.36,-39.38163740791031,6.24833159220017,89.02564102564102,0.78,11.86,0.04,1.66,0.46,14.02
240,62914560,0.0,164.2482589960564,305.3417512050364,46957.49103164696,1596.0230056763894,50,0.28,190.46,-45.42252810942766,8.494509232555977,118.38095238095238,0.84,14.0,0.02,1.82,0.46,16.3
250,65536000,0.0,164.63752533006482,308.11090740701184,48915.582710393006,1592.249394385967,50,0.32,171.04,-29.106441598641688,11.023979327169954,87.5813953488372,0.86,12.9,0.02,2.0,0.4,15.32
260,68157440,0.0,166.95073690800928,304.0328042001929,50871.21842530905,1570.187738341297,50,0.3,180.02,-38.22368145559216,8.258953234214605,106.92857142857143,0.84,15.1,0.0,0.92,0.42,16.44
270,70778880,0.0,166.62619224493392,299.95287185302004,52829.152015852975,1573.2460573464866,50,0.16,207.74,-80.0590590871009,11.101860249271326,104.82222222222222,0.9,19.62,0.06,1.68,0.4,21.76
280,73400320,0.0,165.73223049403168,298.442189988913,54793.77276378614,1581.7321665108482,50,0.34,158.9,-1.284282704340294,4.842628213395744,111.8157894736842,0.76,6.78,0.06,1.54,0.38,8.76
290,76021760,0.0,163.40001653600484,298.70000655879267,56738.74714342714,1604.3082831771753,50,0.18,192.8,-48.076564304616184,8.017060750497132,112.6086956521739,0.92,12.34,0.1,2.1,0.44,14.98
300,78643200,0.0,164.9270876511,316.6818859698251,58681.80287621799,1589.4538837341288,50,0.3,190.7,-27.67560540413833,7.567880384138157,80.60526315789474,0.76,11.5,0.08,1.54,0.28,13.4
310,81264640,0.0,164.8463127440773,296.59178458317183,60643.69862869498,1590.2327181984147,50,0.4,167.78,-2.7316755354357882,6.686431771741923,101.8,0.7,9.88,0.0,0.84,0.38,11.1
