iteration,timesteps,max_steps,iter_time_sec,eval_time_sec,elapsed_time_sec,timesteps_per_sec,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
10,2621440,0.0,167.38003735698294,267.09650518599665,1698.399872317037,1566.1604820944533,50,0.26,246.46,34.70184904350201,13.356351703917605,82.89473684210526,0.38,11.22,0.0,0.98,20.18,32.38
20,5242880,0.0,173.3006393639953,296.62509737402434,3676.904598462046,1512.6545462385795,50,0.06,284.52,37.96401375671849,13.260000000000002,88.41666666666667,0.24,27.4,0.0,0.0,12.38,39.78
30,7864320,0.0,170.85163919295883,301.30798391398275,5673.9261943130405,1534.3370496079124,50,0.08,287.66,43.87183015393559,7.15028996365049,93.08333333333333,0.24,12.84,0.0,0.02,6.96,19.82
40,10485760,0.0,171.844702574017,312.58419920597225,7684.136982456024,1525.4703582561078,50,0.18,275.32,43.149923579947206,15.301102654367076,102.11111111111111,0.36,21.1,0.2,0.24,21.26,42.8
50,13107200,0.0,169.05612101097358,310.6299315060023,9703.29182143003,1550.632999458115,50,0.14,272.82,40.09183393690735,10.686556894698128,116.46666666666667,0.3,19.88,0.0,0.0,8.1,27.98
60,15728640,0.0,169.51377010298893,323.1427911389619,11703.876684938034,1546.4466387641141,50,0.22,260.96,32.54121060700388,10.620843950318518,121.77272727272727,0.44,15.14,1.14,0.02,9.36,25.66
70,18350080,0.0,172.3202626000275,322.8399935559719,13742.748122612014,1521.2604486824766,50,0.24,253.78,37.19177143673878,19.963603765233355,90.75,0.56,15.1,0.0,0.98,32.4,48.48
80,20971520,0.0,171.7288006460294,318.95501019398216,15785.231782506045,1526.4999173920517,50,0.28,246.84,34.897013599036725,29.48671305339052,103.75,0.8,27.3,0.48,2.2,48.88,78.86
90,23592960,0.0,168.7050911100232,315.572945797001,17846.685176020022,1553.8594494995968,50,0.36,240.38,26.410952618862503,27.56911651581923,108.1590909090909,0.88,11.24,6.44,2.98,52.7,73.36
100,26214400,0.0,170.15712301398162,324.73986453103134,19870.663562678033,1540.5996255499686,50,0.44,214.96,40.480503176589266,26.576072843888777,79.38461538461539,0.78,11.74,3.58,2.16,52.06,69.54
110,28835840,0.0,170.55935745802708,331.7462975080125,21885.70175971702,1536.9663905101834,50,0.32,226.32,27.702879850445314,34.622081290685024,72.5,0.84,14.7,6.0,4.06,65.18,89.94
120,31457280,0.0,171.68694494396914,319.63231190899387,23927.43334914703,1526.8720640672589,50,0.32,238.56,25.036544302833573,39.29321782415724,77.30434782608695,0.92,8.06,24.02,7.2,64.48,103.76
130,34078720,0.0,171.7450390489539,317.84457091701915,25957.131693261035,1526.3555876293983,50,0.38,223.3,29.787269735838635,30.53980925714558,67.16666666666667,0.84,14.5,12.04,6.98,47.74,81.26
140,36700160,0.0,171.917395905999,333.123473863001,28013.17597704602,1524.8253303193069,50,0.36,232.18,34.492190766009735,34.83317862295372,73.21739130434783,0.92,18.4,24.32,7.54,45.14,95.4
150,39321600,0.0,171.88252611097414,331.85162023000885,30068.029633619008,1525.1346715183222,50,0.28,241.5,20.679948440867012,34.42134085322889,79.19047619047619,0.84,13.64,22.12,7.58,49.7,93.04
160,41943040,0.0,172.79493758501485,326.0807469600113,32160.94019284105,1517.081482037201,50,0.34,245.82,29.03629301559413,34.13276097743809,66.30232558139535,0.86,19.7,17.8,7.42,48.48,93.4
170,44564480,0.0,172.1887038560235,320.2839589010109,34221.31131370802,1522.422749747818,50,0.3,250.5,28.66451072385069,37.515093360676566,57.7,0.8,12.4,8.2,7.08,76.74,104.42
180,47185920,0.0,173.6889735509758,356.3191574990051,36295.154096151,1509.2725498954235,50,0.32,232.72,27.941003904418903,34.91838062080725,70.55555555555556,0.9,8.74,10.94,5.66,60.88,86.22
190,49807360,0.0,166.87017520400696,313.9630825429922,38353.19037303503,1570.9457947144606,50,0.28,249.26,24.28344538678415,33.597991686744,81.77272727272727,0.88,16.16,17.52,9.54,52.12,95.34
200,52428800,0.0,170.95660781202605,377.4166905970196,40371.77644143603,1533.394955334153,50,0.34,235.0,25.651899623325882,40.95327722132214,67.08695652173913,0.92,15.84,20.74,6.78,69.7,113.06
210,55050240,0.0,169.38733664999017,316.76500378595665,42574.851252083026,1547.6009315954682,50,0.32,237.92,24.309022383641278,37.339087317602846,65.42222222222222,0.9,15.7,23.9,7.48,57.4,104.48
220,57671680,0.0,169.62817536498187,316.64355111302575,44596.122916819004,1545.4036420303153,50,0.4,212.32,29.45447573847312,28.69096251171699,60.75609756097561,0.82,8.62,10.7,6.2,54.4,79.92
230,60293120,0.0,173.6242443889496,331.2609664390329,46640.001336238,1509.8352244675589,50,0.4,218.6,32.82373171646555,33.32001411165367,62.85,0.8,21.14,15.16,6.2,46.58,89.08
240,62914560,0.0,171.5476438429905,323.2169278379879,48692.638942188,1528.1119234719893,50,0.34,235.1,26.29335833242512,38.211318165410376,61.851063829787236,0.94,19.54,16.6,8.02,58.74,102.9
250,65536000,0.0,170.73691888991743,317.85148946999107,50730.86489781004,1535.367990147563,50,0.42,212.3,35.36604500887217,39.335466673469384,61.29545454545455,0.88,13.12,26.38,8.8,53.94,102.24
260,68157440,0.0,172.36536815797444,330.3557742240373,52776.301005708985,1520.86235652479,50,0.4,222.02,31.312608680326374,33.72942413415783,75.28888888888889,0.9,11.2,21.58,10.82,49.48,93.08
270,70778880,0.0,171.0078773580026,326.29333235602826,54835.872282113065,1532.9352311133903,50,0.4,235.94,31.14410650108548,48.57463962289334,48.340425531914896,0.94,20.44,27.22,11.4,75.02,134.08
280,73400320,0.0,170.4073110059835,339.89821964502335,56896.13706767408,1538.3377535415448,50,0.4,235.46,35.12218543424213,38.08932901574116,62.212765957446805,0.94,14.22,19.76,8.64,59.5,102.12
290,76021760,0.0,170.03951162402518,331.1737829550402,58958.265320479055,1541.6652135512322,50,0.28,259.44,22.81724561568677,46.75377914265523,63.212765957446805,0.94,13.1,34.1,13.14,73.56,133.9
300,78643200,0.0,172.06888451101258,368.0081605290761,61011.42202667799,1523.4828815503975,50,0.4,227.88,32.008091368846365,39.974205954151756,62.666666666666664,0.84,17.4,21.32,10.36,59.98,109.06
310,81264640,0.0,170.46584745997097,316.7297884039581,63097.27572566003,1537.809502056164,50,0.32,237.44,22.698765505232732,39.87313492996976,65.89795918367346,0.98,17.14,12.8,7.8,69.48,107.22
320,83886080,0.0,180.48051972303074,329.08881781995296,65133.48025881604,1452.4780868444516,50,0.34,230.4,25.372763681911675,39.66649121614933,55.22222222222222,0.9,19.08,14.9,9.7,61.68,105.36
330,86507520,0.0,174.8788166739978,321.62924663804006,67241.84436249104,1499.0037386213478,50,0.32,235.58,24.41138258204155,34.400306379555694,56.916666666666664,0.96,9.54,16.08,12.04,52.52,90.18
340,89128960,0.0,173.8972904109396,336.1096414299682,69280.36414780898,1507.4645463452773,50,0.3,240.18,21.23710776691034,37.361225299493825,56.25,0.96,14.24,16.52,10.72,60.68,102.16
350,91750400,0.0,175.59262977703474,324.6219329240266,71363.22477049497,1492.9100403181333,50,0.28,236.32,19.839665454587085,37.77079525506381,65.02173913043478,0.92,9.18,20.8,10.3,65.3,105.58
360,94371840,0.0,175.85469539195765,334.86060483695474,73422.72879441106,1490.6852467926121,50,0.3,237.96,18.905452962485143,45.286325326068926,49.71739130434783,0.92,7.92,21.2,10.78,85.66,125.56
370,96993280,0.0,171.59057561098598,335.6592117761029,75478.39724320802,1527.7295915966167,50,0.44,212.32,33.982312663415506,38.65089260468366,47.58695652173913,0.92,13.36,22.36,8.8,50.14,94.66
380,99614720,0.0,173.152610360994,333.4002593619516,77543.75148871297,1513.9477219169491,50,0.3,241.94,22.03572200591676,41.76826764487394,66.69565217391305,0.92,14.7,22.82,14.38,67.22,119.12
381,99876864,0.0,174.84758152707946,316.4522957269801,78052.14819392702,1499.2715238637747,50,0.3,237.76,15.183093543514115,48.483916174891576,53.47826086956522,0.92,10.0,36.72,12.68,76.26,135.66
